"		지점번호",지점명,date,avg_temp,max_temp,"	최고기온시각",min_temp,최저기온시각일교차,
"		108",서울,1986-04-02,10.6,17.8,14:53,5.1,6:50,12.7
"		108",서울,1986-04-03,11.5,17.4,15:54,6.6,6:20,10.8
"		108",서울,1986-04-04,10.6,17.6,13:12,7,6:35,10.6
"		108",서울,1986-04-05,9.1,14.4,12:25,5.3,6:50,9.1
"		108",서울,1986-04-06,7.3,11.4,14:19,4.5,7:00,6.9
"		108",서울,1986-04-07,7.6,13.6,16:13,1.6,6:24,12
"		108",서울,1986-04-08,10.3,17.9,13:52,3.7,5:52,14.2
"		108",서울,1987-04-02,5.2,10.5,15:14,2.1,6:54,8.4
"		108",서울,1987-04-03,5.1,6.8,12:05,2.9,0:00,3.9
"		108",서울,1987-04-04,10,18,16:52,3.6,4:00,14.4
"		108",서울,1987-04-05,15.9,24.7,15:37,7.1,6:26,17.6
"		108",서울,1987-04-06,12.8,16.4,0:00,10.4,15:55,6
"		108",서울,1987-04-07,11.1,15.8,17:12,7.6,6:00,8.2
"		108",서울,1987-04-08,14.7,22,15:20,8.2,2:55,13.8
"		108",서울,1988-04-02,10.7,18.6,16:59,4.6,6:32,14
"		108",서울,1988-04-03,11.3,16.3,15:05,6.4,6:25,9.9
"		108",서울,1988-04-04,12.4,19.6,14:12,6.6,5:30,13
"		108",서울,1988-04-05,7.8,9.9,14:23,5.9,24:00:00,4
"		108",서울,1988-04-06,9,14.3,15:04,3.2,5:40,11.1
"		108",서울,1988-04-07,9.2,15.3,15:52,5.6,6:30,9.7
"		108",서울,1988-04-08,8.8,12.5,14:37,5.9,24:00:00,6.6
"		108",서울,1989-04-02,10.1,17.4,13:57,3.7,6:35,13.7
"		108",서울,1989-04-03,11.7,17.9,16:37,4.9,6:50,13
"		108",서울,1989-04-04,13.1,19.5,15:29,6.2,5:51,13.3
"		108",서울,1989-04-05,13.1,19.6,14:50,7,6:50,12.6
"		108",서울,1989-04-06,14.1,22.6,14:28,6.4,6:35,16.2
"		108",서울,1989-04-07,12.7,18.7,13:29,8.5,6:30,10.2
"		108",서울,1989-04-08,14,20.1,15:53,8.2,6:35,11.9
"		108",서울,1990-04-02,10.7,18.4,17:07,5.2,5:35,13.2
"		108",서울,1990-04-03,7.8,11,11:56,3.4,24:00:00,7.6
"		108",서울,1990-04-04,5.2,9.6,13:58,1.6,7:10,8
"		108",서울,1990-04-05,7.5,12.5,14:50,2.3,5:55,10.2
"		108",서울,1990-04-06,10.2,15,14:33,4.3,6:36,10.7
"		108",서울,1990-04-07,8.3,9.8,14:50,5.5,24:00:00,4.3
"		108",서울,1990-04-08,9,13.1,13:38,5.2,0:39,7.9
"		108",서울,1991-04-02,5.7,11.2,13:40,0,6:52,11.2
"		108",서울,1991-04-03,8,13.9,13:54,4.8,3:10,9.1
"		108",서울,1991-04-04,8.8,15,15:01,2.8,6:53,12.2
"		108",서울,1991-04-05,9.5,15.8,15:30,2.6,6:40,13.2
"		108",서울,1991-04-06,13.3,19.5,14:11,6.8,7:12,12.7
"		108",서울,1991-04-07,16.2,24.1,16:09,9.8,6:34,14.3
"		108",서울,1991-04-08,15.2,22.7,15:10,9.2,6:44,13.5
"		108",서울,1992-04-02,11.7,18.3,15:37,7.7,2:55,10.6
"		108",서울,1992-04-03,14.1,20.4,13:46,6.8,5:58,13.6
"		108",서울,1992-04-04,15.6,22,15:08,10,6:50,12
"		108",서울,1992-04-05,14.8,21.5,14:29,9,6:50,12.5
"		108",서울,1992-04-06,14.1,21.6,14:44,8.7,24:00:00,12.9
"		108",서울,1992-04-07,13.5,20.2,15:10,7.2,6:30,13
"		108",서울,1992-04-08,12.8,16.7,14:09,8.6,6:50,8.1
"		108",서울,1993-04-02,10.2,17.4,15:53,4.8,5:22,12.6
"		108",서울,1993-04-03,11.1,15.8,14:25,6.7,6:54,9.1
"		108",서울,1993-04-04,8.9,12.1,16:15,6.1,24:00:00,6
"		108",서울,1993-04-05,8.4,14.3,14:31,2.6,6:37,11.7
"		108",서울,1993-04-06,7.7,12.7,13:23,3.8,6:18,8.9
"		108",서울,1993-04-07,4.3,6.7,15:44,1,24:00:00,5.7
"		108",서울,1993-04-08,3.1,6.2,12:27,0.4,6:13,5.8
"		108",서울,1994-04-02,10.1,14.6,15:21,6.7,6:09,7.9
"		108",서울,1994-04-03,13.1,21.4,15:37,7.4,7:40,14
"		108",서울,1994-04-04,15.3,21.3,14:25,10,6:44,11.3
"		108",서울,1994-04-05,18.1,27.4,15:47,8.8,6:38,18.6
"		108",서울,1994-04-06,19.8,28.9,13:56,13.1,6:36,15.8
"		108",서울,1994-04-07,19.3,26.4,15:28,10.8,24:00:00,15.6
"		108",서울,1994-04-08,10.2,13.4,17:20,8.5,24:00:00,4.9
"		108",서울,1995-04-02,3.8,8,14:37,-0.4,6:57,8.4
"		108",서울,1995-04-03,5.6,10.6,14:43,0.5,6:09,10.1
"		108",서울,1995-04-04,7.4,13.1,15:39,1.5,6:36,11.6
"		108",서울,1995-04-05,8.3,13.6,15:20,4.7,2:30,8.9
"		108",서울,1995-04-06,6.9,12.2,17:00,4.7,2:32,7.5
"		108",서울,1995-04-07,10.4,16.5,15:01,4.4,6:58,12.1
"		108",서울,1995-04-08,14,18.8,14:53,10.8,0:44,8
"		108",서울,1996-04-02,3.3,7.7,15:11,-0.9,6:30,8.6
"		108",서울,1996-04-03,3.9,8.6,15:06,0.1,6:00,8.5
"		108",서울,1996-04-04,5.4,10.9,15:01,0.3,5:31,10.6
"		108",서울,1996-04-05,8.5,15,14:33,4.1,5:25,10.9
"		108",서울,1996-04-06,6.8,11.1,11:37,5.2,4:33,5.9
"		108",서울,1996-04-07,8.3,12.1,14:43,6,23:40,6.1
"		108",서울,1996-04-08,9.3,15.8,16:10,3.3,6:40,12.5
"		108",서울,1997-04-02,9.9,12.6,17:07,8.2,5:00,4.4
"		108",서울,1997-04-03,13,17.6,16:48,8.4,6:50,9.2
"		108",서울,1997-04-04,11.2,13.1,13:43,9.7,7:00,3.4
"		108",서울,1997-04-05,11.6,14.4,16:30,10,6:42,4.4
"		108",서울,1997-04-06,9.2,10.8,1:40,7.8,7:27,3
"		108",서울,1997-04-07,11.6,18.4,15:57,6.4,6:59,12
"		108",서울,1997-04-08,11.8,16.9,15:15,8.5,6:00,8.4
"		108",서울,1998-04-02,6.4,11.8,14:02,1.9,6:57,9.9
"		108",서울,1998-04-03,8,13.6,15:20,2.9,7:05,10.7
"		108",서울,1998-04-04,10.5,17,15:50,3.2,6:42,13.8
"		108",서울,1998-04-05,11.1,13.1,13:50,8.2,6:15,4.9
"		108",서울,1998-04-06,17.7,25.1,16:00,11,6:02,14.1
"		108",서울,1998-04-07,16.4,21.3,13:28,11.3,6:49,10
"		108",서울,1998-04-08,16.4,20.6,15:06,12.8,7:04,7.8
"		108",서울,1999-04-02,9,13.6,17:03,5,24:00:00,8.6
"		108",서울,1999-04-03,7,11.2,14:20,2.3,6:30,8.9
"		108",서울,1999-04-04,8.3,13.8,14:03,1.8,6:33,12
"		108",서울,1999-04-05,10.5,17.2,14:58,6.6,6:30,10.6
"		108",서울,1999-04-06,7.7,12.6,13:30,3.7,24:00:00,8.9
"		108",서울,1999-04-07,8,13.6,15:28,1.6,5:07,12
"		108",서울,1999-04-08,11.7,17.4,14:54,5.6,6:47,11.8
"		108",서울,2000-04-02,12.1,16.9,15:11,7.3,3:55,9.6
"		108",서울,2000-04-03,13.4,19,14:50,7.6,6:30,11.4
